doctor_id,doctor_name_zh,concept_id,concept_name_zh,source_phrase_zh,match_type,confidence
CGMH_LINKOU_CARDIO_001,溫明賢,CARDIO_ARRHYTHMIA,心律不整,心律不整,exact_keyword,0.95
CGMH_LINKOU_CARDIO_001,溫明賢,CARDIO_CARDIOLOGY,心臟內科,心臟血管疾病,exact_keyword,0.95
CGMH_LINKOU_CARDIO_001,溫明賢,CARDIO_ECHOCARDIOGRAPHY,心臟超音波,心臟血管超音波,exact_keyword,0.95
CGMH_LINKOU_CARDIO_002,徐子哲,CARDIO_CARDIOLOGY,心臟內科,心臟血管疾病,exact_keyword,0.95
CGMH_LINKOU_CARDIO_002,徐子哲,CARDIO_CATHETERIZATION,心導管檢查,心導管,exact_keyword,0.95
CGMH_LINKOU_CARDIO_002,徐子哲,CARDIO_ECHOCARDIOGRAPHY,心臟超音波,心臟血管超音波,exact_keyword,0.95
CGMH_LINKOU_CARDIO_002,徐子哲,CARDIO_INTERVENTIONAL_CARDIOLOGY,介入性心導管治療,介入性心導管,exact_keyword,0.95
CGMH_LINKOU_CARDIO_003,王朝永,CARDIO_CATHETERIZATION,心導管檢查,心導管,exact_keyword,0.95
CGMH_LINKOU_CARDIO_003,王朝永,CARDIO_HYPERLIPIDEMIA,高血脂,高血脂,exact_keyword,0.95
CGMH_LINKOU_CARDIO_003,王朝永,CARDIO_INTERVENTIONAL_CARDIOLOGY,介入性心導管治療,心導管介入,exact_keyword,0.95
CGMH_LINKOU_CARDIO_003,王朝永,CARDIO_OBESITY,肥胖,肥胖,exact_keyword,0.95
CGMH_LINKOU_CARDIO_003,王朝永,CARDIO_STENT,血管支架置放,支架,exact_keyword,0.95
CGMH_LINKOU_CARDIO_003,王朝永,CARDIO_VALVULAR_HEART_DISEASE,心臟瓣膜疾病,瓣膜,exact_keyword,0.95
CGMH_LINKOU_CARDIO_004,謝明哲,CARDIO_CARDIOLOGY,心臟內科,心臟內科,exact_keyword,0.95
CGMH_LINKOU_CARDIO_004,謝明哲,CARDIO_CARDIOVASCULAR_DISEASE,心臟血管疾病,心血管,exact_keyword,0.95
CGMH_LINKOU_CARDIO_004,謝明哲,CARDIO_CATHETERIZATION,心導管檢查,心導管,exact_keyword,0.95
CGMH_LINKOU_CARDIO_004,謝明哲,CARDIO_ECHOCARDIOGRAPHY,心臟超音波,心血管超音波,synonym_keyword,0.85
CGMH_LINKOU_CARDIO_004,謝明哲,CARDIO_GENERAL_INTERNAL_MEDICINE,一般內科,一般內科,exact_keyword,0.95
CGMH_LINKOU_CARDIO_004,謝明哲,CARDIO_INTERVENTIONAL_CARDIOLOGY,介入性心導管治療,心導管介入,exact_keyword,0.95
CGMH_LINKOU_CARDIO_005,沃宏達,CARDIO_ARRHYTHMIA,心律不整,心律不整,exact_keyword,0.95
CGMH_LINKOU_CARDIO_005,沃宏達,CARDIO_CARDIOLOGY,心臟內科,心臟血管疾病,exact_keyword,0.95
CGMH_LINKOU_CARDIO_005,沃宏達,CARDIO_ECHOCARDIOGRAPHY,心臟超音波,心臟血管超音波,exact_keyword,0.95
CGMH_LINKOU_CARDIO_005,沃宏達,CARDIO_PACEMAKER,心律調節器植入,心臟節律器,synonym_keyword,0.85
CGMH_LINKOU_CARDIO_006,詹益欣,CARDIO_ECHOCARDIOGRAPHY,心臟超音波,心臟超音波,exact_keyword,0.95
CGMH_LINKOU_CARDIO_006,詹益欣,CARDIO_ELECTROPHYSIOLOGY,心臟電氣生理檢查及治療,電氣生理,exact_keyword,0.95
CGMH_LINKOU_CARDIO_006,詹益欣,CARDIO_INTERVENTIONAL_CARDIOLOGY,介入性心導管治療,介入性治療,synonym_keyword,0.85
