doctor_id,doctor_name_zh,hospital_zh,department_zh,subdepartment_zh,specialty_raw_zh,source_url
CGMH_LINKOU_ORTHO_001,傅再生,林口長庚紀念醫院,骨科部,骨科部,1) 腰脊頸部疼痛及坐骨神經痛治療 2) 微創脊椎外科手術 3) 脊椎內視鏡手術 4) 脊椎退化性病變、骨折感染與腫瘤之外科治療 5) 骨質疏鬆症 6) 脊椎椎間盤退化性病變及幹細胞骨再生研究,
CGMH_LINKOU_ORTHO_002,牛自健,林口長庚紀念醫院,骨科部,骨科部,頸椎外科手術；脊椎退化性病變、感染與腫瘤之外科治療、微創脊椎外科手術 (經皮內視鏡輔以雷射椎間盤軟骨切除術、骨水泥灌注治療骨鬆性壓迫骨折)、人工脊椎間盤置換術 (Disk-arthroplasty)、保持活動性脊椎穩定手術 (Motion-preservation stabilizing surgery of spine)及椎間盤軟骨細胞再生研究,
CGMH_LINKOU_ORTHO_003,賴伯亮,林口長庚紀念醫院,骨科部,骨科部,肩頸痛、下背痛與坐骨神經痛、脊椎滑脫與脊椎側彎矯正、椎間盤內視鏡雷射切除術及脊椎腫瘤手術、骨水泥灌注治療骨質疏鬆骨折,
CGMH_LINKOU_ORTHO_004,陳力輝,林口長庚紀念醫院,骨科部,骨科部,脊椎病變(椎間盤突出、脊椎滑脫、脊椎側彎等退化性病變、腫瘤及感染、脊椎骨折、骨質疏鬆症)、Vertebroplasty、Metastatic spine disease,
CGMH_LINKOU_ORTHO_005,蔡宗廷,林口長庚紀念醫院,骨科部,骨科部,脊椎外科手術、脊椎退化手術及人工椎間盤手術、椎間盤細胞、脊索細胞、及幹細胞研究、骨質疏鬆及脊椎灌漿手術(骨水泥)、內視鏡椎間盤手術、脊椎腫瘤及感染手術,
CGMH_LINKOU_ORTHO_006,游家偉,林口長庚紀念醫院,骨科部,骨科部,"脊椎骨質疏鬆相關疾病(骨質疏鬆預防及治療,脊椎骨質疏鬆病患接受手術治療之特殊技術);腰椎退化性疾病(腰椎退化性滑脫合併椎管狹窄,腰椎退化性側彎, 駝背畸形)、 胸腰椎外傷性疾病(胸腰椎壓迫性骨折,爆裂性骨折合併神經損傷);頸椎退化性疾病(頸椎退化性滑脫合併椎管狹窄）、脊椎骨骼及神經腫瘤(多發性骨髓瘤,原發性及轉移性脊椎腫瘤)；脊椎感染性疾病、新型非融合式脊椎手術(腰椎人工椎間盤,腰椎椎弓間植入物,動態式腰椎穩定系統)；人工替代骨及脊椎填充支架(人工替代骨,人工骨泥,脊椎填充支架(Titanium,PEEK,CFRP,CAGES)",
CGMH_LINKOU_ORTHO_007,謝明凱,林口長庚紀念醫院,骨科部,骨科部,1.脊椎骨折2.脊椎腫瘤切除3.脊椎骨刺4.椎間盤突出5.坐骨神經痛6.頸痛7.脊椎側彎、駝背、及滑脫之矯正治療8.脊椎微創手術9.骨質疏鬆咨詢及治療,
CGMH_LINKOU_ORTHO_008,邱炳燁,林口長庚紀念醫院,骨科部,骨科部,頸椎病變及退化性疾患、脊椎退化及椎間盤手術、微創脊椎手術、骨質疏鬆、脊椎外傷及骨折、脊椎感染治療,
CGMH_LINKOU_ORTHO_009,葉祐成,林口長庚紀念醫院,骨科部,骨科部,成人及兒童脊椎側彎矯正、微創駝背畸形矯正、全椎體脊椎腫瘤切除、脊椎腫瘤跨專科團隊治療、上頸椎(C0-C2)手術、頸椎畸形矯正、胸椎後縱韌帶骨化手術、脊椎翻修手術、脊椎感染、微創脊椎外傷手術、微創脊椎內視鏡手術。,
CGMH_LINKOU_ORTHO_010,胡永學,林口長庚紀念醫院,骨科部,骨科部,脊椎微創內視鏡手術、微創脊椎融合手術、脊椎腫瘤治療、脊椎外傷手術、脊椎翻修手術,
