醫師姓名,專長
溫明賢,心臟血管疾病、心律不整、心臟血管超音波
徐子哲,心臟血管疾病、介入性心導管治療、心臟血管超音波
王朝永,二尖瓣及三尖瓣膜導管治療、心導管介入治療、支架置放、高血脂及肥胖治療
謝明哲,心導管介入性治療、心血管超音波、心臟內科學、一般內科學
沃宏達,心臟血管疾病、心律不整、心臟節律器治療、心臟血管超音波
詹益欣,心臟電氣生理檢查及介入性治療、心律調節器植入及心臟超音波檢查
吳健嘉,心臟血管疾病之臨床照護 心臟瓣膜疾病之評估與治療 心臟衰竭之長期追蹤與治療 心臟超音波與非侵襲性心臟影像
李廣祚,心臟血管疾病、心臟超音波、心衰竭治療、一般心臟學
陳緯倫,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波
何建德,心臟血管疾病、介入性心導管治療、心臟血管超音波
許皓森,內科
侯冠榕,內科
張其任,冠狀動脈氣球擴張術及血管支架之裝設、周邊血管氣球擴張術及周邊血流超音波檢查、頸動脈血管支架、冠心病及高血壓、心衰竭病患之診療
葉勇信,心臟電氣生理檢查及介入性治療、心律調節器植入、冠心病及高血壓、心衰竭病患之診療
張伯丞,心臟血管疾病、心律不整、心臟節律器治療、心臟血管超音波
陳靖蓉,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波
程文俊,一般心臟學、高血壓、心臟超音波
王俊傑,心臟血管疾病、心律不整、心臟節律器治療
周宗川,電生理學檢查及電燒手術治療心律不整、基礎電生理、心臟超音波
林彥辰,心導管檢查及介入性治療 、週邊血管超音波
楊熙恆,內科
褚柏顯,臨床心臟血管病態生理學、心臟超音波、重症醫療照護、分子心臟醫學
顏琨麒,心臟電氣生理檢查及介入性治療、心律調節器植入及心臟超音波檢查
吳家棟,心臟電氣生理檢查及介入性治療、心律調節器植入及心臟超音波檢查
何明昀,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波
黃逸群,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波
謝侑叡,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波
張昱政,內科
巫龍昇,心臟電氣生理檢查及介入性治療、心律調節器植入及心臟超音波檢查
葉日凱,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波
賈晉原,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波
賀萬靖,肺高壓、周邊血管超音波、心臟超音波
林莞芹,心臟血管疾病、心臟超音波、心衰竭治療、一般心臟學
洪國竣,心臟血管疾病、心臟血管超音波
林佳濱,心導管檢查及介入性治療 、週邊血管超音波
張尚宏,心臟血管疾病、介入性心導管治療、心臟血管超音波
陳東藝,心臟血管疾病、介入性心導管治療、心臟血管超音波
唐嘉駿,內科
黃仕鴻,內科
曾子慈,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波
王俊力,心臟超音波、心衰竭治療、一般心臟學
吳德朗,心臟血管疾病、心律不整
李振宏,介入型心導管治療及檢查、生醫材料、幹細胞、外泌體治療
周星賢,心導管檢查及介入性治療 、週邊血管超音波
董穎璋,心導管檢查及介入性治療 、週邊血管超音波
蕭富致,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波
蔡宗翰,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波
黃柏棣,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波
陳俊吉,心導管檢查及介入性治療、週邊血管超音坡
謝舒筠,心臟血管疾病、心律不整、心臟節律器治療、心臟血管超音波、週邊血管超音波
郭啟泰,心臟電氣生理檢查及介入性治療、心律調節器植入、冠心病及高血壓、心衰竭病患之診療
邱凱斌,心臟血管疾病、介入性心導管治療、心臟血管超音波、週邊血管超音波
許隆安,一般心臟及高血壓疾病、週邊血管介入性治療、洗腎廔管介入性治療、分子遺傳學
謝宜璋,"心臟血管疾病、介入性心導管治療(冠狀動脈及頸動脈)、結構性心臟病的心導管介入治療、心衰竭,冠心病及高血壓治療"
許承越,內科
林芬瓊,心臟血管疾病、心臟超音波
