醫師姓名,專長
陳紹緯,1.心臟瓣膜疾病整合治療(複雜二尖瓣與多瓣膜修補及置換手術、微創瓣膜手術) 2. 經導管心臟瓣膜治療(TAVI/TAVR、TEER、Valve-in-Valve及其他經導管瓣膜置換與修補治療) 3.微創及機械手臂心臟手術(達文西機械手臂心臟手術、內視鏡微創心臟手術、心房顫動手術及左心耳處理) 4.主動脈疾病(複雜主動脈手術及微創主動脈支架治療) 5.冠狀動脈繞道手術 陳紹緯醫師官網 https://www.cvsdrchen.com/ 陳紹緯心臟外科醫師FB(@DrChenShaoWei) https://www.facebook.com/DrChenShaoWei/
武孟餘,一般心臟外科手術(冠狀動脈繞道手術、心臟瓣膜修補及置換手術，葉克膜植入，心臟腫瘤切除，大血管手術)
曾棋南,成人心臟及主動脈手術、先天性心臟病手術、重症照護
劉國聖,一般心臟外科手術(冠狀動脈繞道手術、心臟瓣膜修補及置換手術，葉克膜植入，心臟腫瘤切除，大血管手術)、主動脈手術(包括微創支架手術)、心臟移植及心室輔助器
鄭羽廷,心臟瓣膜修補及置換手術、主動脈剝離主動脈瘤修補手術及微創支架手術、心衰竭外科治療及重症照護
覃紹凱,心臟血管外科
何恆讃,主動脈手術、一般心臟外科手術(冠狀動脈繞道手術、心臟瓣膜修補及置換手術，葉克膜植入，心臟腫瘤切除，大血管手術)
雷凡卓,"一般心臟外科手術(冠狀動脈繞道手術、心臟瓣膜修補及置換手術，葉克膜植入，心臟腫瘤切除，大血管手術)、主動脈手術(包括微創支架手術)、主動脈剝離主動脈瘤修補手術、心室輔助器、洗腎廔管手術, 血液透析通路維護。"
呂玉潔,"洗腎廔管手術, 血液透析通路維護, 靜脈曲張微創手術, 深層靜脈血栓治療, 骨盆腔靜脈疾病, 會陰部血管整形, 下肢動脈阻塞治療, 慢性足部傷口照護, 主動脈手術(傳統或微創支架胸腹主動脈瘤), 一般心臟外科手術(冠狀動脈繞道手術, 葉克膜植入, 大血管手術)"
林萍章,心臟瓣膜手術、冠狀動脈繞道手術、主動脈瘤手術
張育生,先天性心臟病、一般心臟外科手術(冠狀動脈繞道手術、心臟瓣膜修補及置換手術，葉克膜植入，心臟腫瘤切除，大血管手術)
游勝越,人工血管注射座手術、洗腎通路疾病、糖尿病足血管病變。
辛俊賢,血液透析(洗腎)通路手術 化療通路手術 一般血管外科學
李應陞,糖尿病足專門治療、慢性傷口專門治療、下肢動脈阻塞治療、洗腎廔管手術、傳統或微創腹主動脈瘤手術、靜脈曲張微創手術、深層靜脈血栓治療。
呂玉潔,"洗腎廔管手術, 血液透析通路維護, 靜脈曲張微創手術, 深層靜脈血栓治療, 骨盆腔靜脈疾病, 會陰部血管整形, 下肢動脈阻塞治療, 慢性足部傷口照護, 主動脈手術(傳統或微創支架胸腹主動脈瘤), 一般心臟外科手術(冠狀動脈繞道手術, 葉克膜植入, 大血管手術)"
