醫師姓名,專長
李祖全,氣喘及肺阻塞、慢性咳嗽、結核及感染性疾病
張博瑞,氣喘及慢性阻塞性肺疾、慢性咳嗽、結核及感染性疾病
黃崇旂,氣喘、慢性咳嗽、結核及感染性疾病、戒菸
王圳華,氣喘及慢性阻塞性肺疾、慢性咳嗽、肺部腫瘤
陳濘宏,睡眠呼吸呼吸困難及打鼾、氣喘及慢性阻塞性肺疾、戒菸
黃建達,氣喘及慢性阻塞性肺疾、慢性咳嗽、胸腔保健及復建
羅友倫,呼吸睡眠障礙、慢性咳嗽、氣喘及慢性阻塞性肺疾
王才郁,氣喘及慢性阻塞性肺疾、打呼、阻塞型睡眠呼吸中止症
羅君禹,氣喘及慢性阻塞性肺疾、慢性咳嗽、結核及感染性疾病
邱立忠,氣喘及慢性阻塞性肺疾、慢性咳嗽、結核及感染性疾病
張美元,氣喘及肺阻塞、慢性咳嗽、結核及感染性疾病
鄭信奕,氣喘及肺阻塞、慢性咳嗽、結核及過敏性疾病
張克威,慢性咳嗽及氣喘、過敏性呼吸道疾病、氣喘及慢性呼吸阻塞性肺疾
柯皓文,肺癌檢查及治療、氣喘、肺氣腫、肺感染、咳嗽、胸痛
黃世緯,氣喘及慢性阻塞性肺疾、慢性咳嗽、肺部腫瘤
徐振筌,氣喘及慢性阻塞性肺疾、慢性咳嗽、肺部腫瘤
朱家壎,氣喘及慢性阻塞性肺疾、慢性咳嗽、肺部腫瘤
黃宗楨,氣喘及慢性阻塞性肺疾、慢性咳嗽、肺部腫瘤
吳浩銘,氣喘及慢性阻塞性肺疾、慢性咳嗽、肺部腫瘤
李適鴻,介入性支氣管鏡，胸腔醫學，胸腔腫瘤學，重症醫學
徐稟智,氣喘及慢性阻塞性肺疾、結核及感染性疾病、肺部腫瘤
呂紹煒,內科學、呼吸胸腔醫學、重症加護醫學
郭志熙,慢性咳嗽、肺部腫瘤
林定佑,肺癌、氣喘、慢性阻塞性肺疾、慢性咳嗽、肺炎、無痛無感氣管鏡鎮靜術
王智亮,氣喘及慢性阻塞性肺疾、肺部腫瘤
陳志弘,氣喘及慢性阻塞性肺疾、結核及感染性疾病、肺部腫瘤
劉劍英,慢性咳嗽、肺部腫瘤
蔡熒煌,呼吸胸腔醫學、肺癌、重症醫學
莊立邦,氣喘及肺阻塞、結核及感染性疾病、睡眠呼吸困難及打鼾
洪禎佑,氣喘、慢性咳嗽、慢性支氣管炎、肺阻塞、無痛無感支氣管鏡檢查、結核病和潛伏性肺結核、細菌性肺炎、流感和病毒性肺炎、風濕免疫和血液疾病相關肺部併發症、急性呼吸窘迫症候群
邱子萱,慢性咳嗽、氣喘及肺阻塞、肺部感染症
洪巍訓,慢性咳嗽、氣喘及肺阻塞、肺部感染症、肺部復健、高齡醫學暨藥物整合
黃繼賢,"氣喘, 肺部腫瘤, 慢性阻塞性肺疾, 慢性咳嗽, 肺部復健"
林士為,睡眠醫學、肺部感染症、氣喘及肺阻塞及氣喘、重症照護
謝孟亨,氣喘及肺阻塞、支氣管擴張症、結核、肺腫瘤
謝孟哲,"1.呼吸生理，運動呼吸生理 2.肺功能檢測，運動心肺功能檢測之臨床應用與研究 3.結核病 (Tuberculosis)，肺感染症 (Pneumonia, Influenza) 4.呼吸道疾病 (COPD, Asthma) 5.急慢性機械通氣照護"
林鴻銓,胸腔醫學、胸腔復健、重症醫學、呼吸治療、肺感染免疫學
胡漢忠,氣喘及肺阻塞、結核及感染性疾病、重症醫學
枋岳甫,肺癌診斷與治療、重症醫學、呼吸治療
傅瑞英,重症醫學、急性肺損傷、血流動力學監測、胸腔內科
