醫師姓名,專長
徐智威,糖尿病、代謝症候群、甲狀腺及內分泌疾病、糖尿病足病變
周鈺芸,糖尿病、代謝症候群、甲狀腺及內分泌疾病、糖尿病足病變
王涵芸,糖尿病、高血脂、代謝症候群、肥胖與減重、甲狀腺、內分泌疾病
董冠廷,糖尿病、代謝症候群、甲狀腺及內分泌疾病、糖尿病足病變
蔡松昇,糖尿病、高血脂、甲狀腺與內分泌疾病、代謝症候群、糖尿病足病變
劉鳳炫,糖尿病慢性併發症、甲狀腺自體免疫疾病 、代謝症候群、高血脂
張宏猷,甲狀腺及胰島細胞腫瘤之研究、糖尿病、骨質疏鬆、代謝症候群、甲狀腺及內分泌疾病
黃瓊慧,糖尿病衛教及臨床流行病學、甲狀腺疾病、糖尿病、代謝症候群、內分泌疾病、糖尿病足病變
洪士淵,糖尿病、甲狀腺、內分泌疾病、代謝症候群、糖尿病足病變
黃禹堯,副甲狀腺與腎上腺疾病、糖尿病基因 、糖尿病、代謝症候群、甲狀腺及內分泌疾病、糖尿病足病變
莊峻鍠,糖尿病、代謝症候群、甲狀腺及內分泌疾病
黃兆山,骨質疏鬆、糖尿病足病變、糖尿病、代謝症候群、甲狀腺及內分泌疾病、糖尿病足病變
劉妙真,甲狀腺、副甲狀腺、骨質疏鬆肥胖症、糖尿病、代謝症候群、內分泌疾病、RFA
王誌慶,賀爾蒙、腎上腺、糖尿病、代謝症候群、甲狀腺及內分泌疾病、糖尿病足病變
林嘉鴻,糖尿病、代謝症候群、甲狀腺及內分泌疾病、糖尿病足病變
林承緯,糖尿病、甲狀腺、內分泌疾病、代謝症候群、糖尿病足病變
李晏榮,甲狀腺消融暨介入治療、肥胖症、糖尿病、代謝症候群、甲狀腺及內分泌疾病、糖尿病足病變、RFA
陳怡文,糖尿病、高血脂、代謝症候群、肥胖與減重、甲狀腺、內分泌疾病、糖尿病足病變
周威宇,甲狀腺消融暨介入治療、糖尿病、高血壓、高血脂、代謝症候群、內分泌疾病及糖尿病足病變、RFA
林怡瑄,糖尿病、甲狀腺疾病、內分泌疾病、骨質疏鬆
呂毓苓,糖尿病、代謝症候群、甲狀腺及內分泌疾病、糖尿病足病變
