醫師姓名,專長
沈一嫻,C型肝炎之治療、胃腸疾病、肝膽超音波檢查。
戴達英,肝臟學、B型肝炎病毒。
邱正堂,小腸腸道疾病診療、消化道癌症之診療、胃腸道內視鏡治療及內視鏡超音波之診療、逆流性食道炎之診療
林錫銘,肝臟腫瘤之細針抽吸、肝生檢、細胞學診斷、肝腫瘤顯影劑超音波診斷、肝腫瘤的酒精注射、射頻消融治療 (RFA)與微波消融治療； 肝癌的標靶藥物與免疫藥物治療。
簡榮南,慢性BC型肝炎、肝硬化及肝癌其它肝病的診斷及治療。
謝森永,Hepatology、Cancer Biology、Virology、內科學、胃腸肝膽疾病、癌症生物學、病毒學。
葉昭廷,Hepatology、Molecular Virology、Hepatocarcinogenesis。
許朝偉,慢性B型及C型肝炎之基礎研究及臨床藥物試驗與治療、胃腸疾病、肝膽疾病。
林蔚然,減重及治療內視鏡，癌症能量研究。
吳泰錡,胃腸肝膽疾病診斷治療。
何沛桓,胃腸肝膽疾病診斷治療。
劉冠廷,胃腸肝膽疾病診斷治療。
游仁,胃腸肝膽疾病診斷治療。
陳昱廷,胃腸肝膽疾病診斷治療。
孟明蓉,胃腸肝膽疾病診斷治療。
郭曜瑋,胃腸肝膽疾病診斷治療。
徐毓均,胃腸肝膽疾病診斷治療。
戴佳虹,胃腸肝膽疾病診斷治療。
徐正二,胃腸肝膽疾病診斷治療。
蘇崇維,胃腸肝膽疾病診斷治療。
劉彥君,慢性肝炎與其併發症之診斷、治療與研究。
王昇富,EUS與胰臟囊腫研究、ERCP臨床應用。
林伯庭,肝癌肝炎肝硬化之診治、研究與臨床試驗，胃腸疾病之診斷與治療。
陳博煥,治療性內視鏡與腸胃道動力學專長。
陳正仁,致力於B型和C型肝炎追蹤治療和肝纖維化超音波檢查。
郭偉亮,食道動力學檢查與臨床研究（Manometry），胃食道逆流診斷（有線與無線食道酸鹼檢測）與治療，進階消化道內視鏡手術（消化道息肉及早期癌切除)。
鄭雅婷,BC型肝炎追蹤治療和胃腸肝膽科重症病患的照護。
吳季桓,膽胰疾病內視鏡診斷與介入操作。
滕威,肝癌的診斷和治療。
李柏賢,發炎性腸道疾病、微菌治療。
林正祐,內視鏡超音波、腸胃道癌症診斷與早期防治，發炎性腸道疾病診治，腸道菌相、自體免疫胃腸道病症。
