醫師姓名,專長
陳敏夫,"乳房外科,膽道外科暨腹腔鏡手術"
黃燦龍,胰臟外科、肥胖手術、腹膜透析導管植入及追蹤
葉俊男,胰臟外科、胃腸外科、甲狀腺手術、腹膜透析導管植入及追蹤
徐潤德,胃腸腫瘤與膽道疾病手術、腹腔鏡微創手術、胰臟手術、乳房手術與乳癌治療
王尚煜,微創膽胰手術(含機械人輔助手術)、微創疝氣及腹壁重建手術 (含機械人輔助手術) 、甲狀腺手術
李兆偉,肝臟外科、甲狀腺手術、膽道外科暨腹腔鏡手術、達文西手術機械手臂微創手術
許志杰,甲狀腺及副甲狀腺手術、甲狀腺內視鏡微創手術、甲狀腺囊腫酒精注射治療、甲狀腺/副甲狀腺超音波檢查與諮詢
陳名揚,腹腔鏡手術、肝膽胰手術、內分泌手術
高浩偉,微創疝氣手術(腹股溝疝氣/腹壁疝氣/臍疝氣/腹直肌分離/橫膈裂孔疝氣/複雜性切口疝氣及腹壁重建手術/疝氣術後慢性疼痛治療) 達文西及單孔疝氣手術 腹腔鏡及達文西單孔膽囊切除手術 微創及達文西胃癌及胃腫瘤手術、胃食道逆流手術 甲狀腺及副甲狀腺手術 胰臟手術 乳房手術 腹膜透析導管植入及追蹤
陳怡甫,胃腸腫瘤及膽胰疾病手術、甲狀腺手術、疝氣手術、腹腔鏡微創手術、多孔及單孔達文西機械手臂微創手術、雨果機械手臂微創手術
邱涵晞,一般外科
葉大森,胃腸外科、膽道外科暨腹腔鏡手術、達文西手術機械手臂微創手術
劉耿豪,減重手術、膽道外科暨腹腔鏡手術、達文西手術機械手臂微創手術
蔡駿逸,胃腸外科、膽道外科暨腹腔鏡手術、達文西手術機械手臂微創手術
陳訓徹,乳房外科、乳房腫瘤
羅永豐,乳房外科、乳房腫瘤
游啓昌,乳癌篩檢診斷檢查、乳癌手術與藥物治療、乳房腫瘤微創手術. 內視鏡輔助乳癌手術
郭玟伶,乳房外科、乳房達文西手術、乳癌遺傳性基因檢測諮詢、乳癌篩檢及診斷、術前術後輔助治療、乳房疾病手術、乳癌手術治療、乳癌腫瘤整形手術及乳癌腫瘤免疫學
周旭桓,乳房外科、乳房內視鏡微創手術
朱家慧,乳房外科、乳房腫瘤
鍾煒珊,乳房外科、乳房腫瘤
高若雲,乳房外科、乳房腫瘤
