醫師姓名,專長
王誠,1. 各種生殖泌尿道脫垂手術(包括微創式) 2. 各種婦女尿失禁手術(包括微創式及雷射治療) 3. 骨盆底肌功能異常之物理治療(非手術治療) 4. 生殖泌尿道廔管手術 5. 婦女膀胱功能異常之藥物治療 6. 雷射治療-更年期生殖泌尿道徵候群 7. 子宮癌根除手術後解尿困難
梁景忠,婦女尿路感染、頻尿與尿失禁各種治療、子宮膀胱直腸脫出手術、腹腔鏡微創手術、婦女性困擾諮商、優生保健與高危險妊娠
盧佳序,1. 疾病：女性尿失禁、盆底鬆弛脫垂 2. 手術：微創盆底脫垂、微創陰道帶尿失禁、微創人工補片筋膜骨盆重建手術 3. 物理治療：頻尿、急尿與尿失禁、子宮脫垂之物理復健治療法 4. 診斷：下生殖道與泌尿道超音波檢查、門診軟式膀胱鏡檢查
林益豪,一般產前檢查及自然生產/剖腹生產，婦科疾病及子宮鏡與腹腔鏡手術(子宮肌瘤、卵巢瘤、子宮內膜異位症等)，婦女骨盆疾病(腹腔鏡/達文西/經陰道子宮脫垂及膀胱脫垂手術、陰道整型手術、尿失禁手術、間質性膀胱炎治療、肉毒桿菌注射、陰道雷射手術等)
謝梓翔,海扶刀無創手術(子宮肌瘤消融手術、子宮肌腺瘤消融手術)，各種微創手術(包含腹腔鏡肌瘤摘除手術、腹腔鏡卵巢腫瘤摘除手術、腹腔鏡子宮摘除手術、腹腔鏡次全子宮摘除手術、腹腔鏡子宮陰道懸吊手術、子宮鏡手術、達文西手術、膀胱鏡)，陰道雷射手術，以及各類尿失禁手術與脫垂手術
周怡君,一般婦科疾病、避孕諮詢、更年期症狀、子宮鏡與腹腔鏡手術(子宮肌瘤、卵巢瘤、子宮內膜異位症等)及婦女骨盆疾病(腹腔鏡子宮脫垂及膀胱脫垂手術/陰道整型手術、尿失禁手術、間質性膀胱炎治療、肉毒桿菌注射、陰道雷射手術等)。
李奇龍,腹腔鏡生殖、骨盆重建及婦癌手術、不孕症之診斷及治療(排卵誘導及監測、取卵、人工受孕、胚胎植入、腹腔鏡輸卵管接通手術)、子宮內膜異位症之治療、內分泌異常之診斷及治療、更年期婦女骨質疏鬆症之預防治療、先天性生殖器發育不全之矯正手術
王錦榮,達文西機械手臂手術、腹腔鏡生殖醫學手術（肌瘤切除、輸卵管接通、整形、卵巢腫瘤切除、子宮內膜異位） 、腹腔鏡骨盆腔重建（子宮、膀胱、直腸脫垂）及尿失禁手術 、子宮鏡手術
顏志峰,1.	婦科腫瘤內視鏡微創手術：子宮肌瘤、子宮肌腺症、卵巢腫瘤、骨盆腔腫瘤手術 2.	子宮內膜異位症、子宮肌腺症 之內視鏡微創手術 3.	生育保留或促進之內視鏡手術：子宮保留式手術、卵巢功能保留式手術、輸卵管接通整形，子宮外孕手術 4.	生殖器先天發育不全之重建或異常矯正手術 5.	子宮鏡手術：腫瘤移除，沾黏分離，先天異常之矯正，剖腹產斑痕異位妊娠手術
吳凱筠,一般婦科腫瘤內視鏡手術(子宮肌瘤、卵巢腫瘤)、腹腔鏡生殖醫學手術(輸卵管再接通、整形、子宮內膜異位等手術)、子宮鏡手術(瘜肉、肌瘤、子宮腔沾黏手術)
黃怡婷,一般婦科腫瘤內視鏡手術(子宮肌瘤、卵巢腫瘤)、腹腔鏡生殖醫學手術(輸卵管手術、整形、子宮內膜異位等手術)、子宮鏡手術(瘜肉、肌瘤、子宮腔沾黏手術) 、子宮鏡速潔刀治療、達文西手術。
翁瑄,一般婦科疾病診斷與治療（月經失調、子宮頸癌預防與篩檢等）、一般婦科腹腔鏡手術（卵巢腫瘤、子宮肌瘤 等）、生殖醫學腹腔鏡手術（輸卵管整形手術、子宮內膜異位症、子宮肌腺症等）、子宮鏡檢查與手術（瘜肉、肌瘤、子宮腔沾黏）、子宮鏡速潔刀治療（冷刀）、達文西手術、婦科高層次超音波
林杰進,達文西機械手臂手術，海扶刀肌瘤腺瘤無傷口手術，自然孔洞內視鏡無疤痕手術，婦科腫瘤內視鏡手術（子宮肌瘤、子宮肌腺症、卵巢腫瘤、骨盆腔腫瘤手術），腹腔鏡生殖醫學手術(輸卵管手術、整形、子宮內膜異位等手術)，門診子宮鏡檢查及治療，子宮鏡手術（含速潔刀治療），一般婦科疾病診斷及治療，一般產檢
張舜智,一般產檢、高危險妊娠產檢、產前優生遺傳諮詢、羊膜穿刺術、絨毛膜取樣術、染色體之檢查、胎兒臍帶血穿刺術、螢光原位雜合(FISH)作快速染色體檢查
闕河晏,一般產檢、高危險妊娠產檢、產前優生遺傳諮詢、羊膜穿刺術、絨毛膜取樣術、胎兒臍帶血穿刺術、3D(－4D)立體超音波
詹耀龍,高危險妊娠產檢、胎兒心臟超音波檢查、雙胞胎輸血症候群之子宮內胎兒治療
彭秀慧,產前遺傳諮詢、高危險妊娠產檢、唐氏症篩檢及子癇前症篩檢、胎兒染色體檢查 、基因晶片分析、基因診斷、剖腹生產及一般婦科疾病
李彥璋,唐氏症篩檢、高危險妊娠、高層次超音波、剖腹生產、內視鏡手術
許晉婕,一般產檢、高危妊娠產檢、胎兒高層次超音波、24小時接生、一般婦科疾患、腹腔鏡手術、母乳哺育支持與諮詢、乳房超音波、基因遺傳諮詢
張芳瑜,一般產檢、高危險妊娠產檢、初期唐氏症篩檢、產前基因遺傳諮詢、胎兒高層次超音波、一般婦科疾患、腹腔鏡手術、母乳哺育支持
宋永魁,婦科良性腫瘤微創手術、子宮內膜異位症、不孕症之診斷及治療(排卵誘導及監測、取卵、人工受孕、胚胎植入、子宮鏡及腹腔鏡手術、輸卵管接通手術)、內分泌異常之診斷及治療(月經失調、泌乳激素過高)、更年期婦女更年期症候群、骨質疏鬆症之預防治療、婦女代謝症候群、荷爾蒙補充療法、先天性生殖器發育不全之矯正手術
黃泓淵,不孕症之診斷及治療(排卵誘導及監測、取卵、人工受孕、胚胎植入、子宮鏡及腹腔鏡手術、輸卵管接通手術)、生殖內分泌異常之診斷及治療、更年期婦女骨質疏鬆症之預防治療 、子宮內膜異位症之診斷及治療
張嘉琳,不孕症之診斷及治療(排卵誘導及監測、取卵、人工受孕、胚胎植入、子宮鏡及腹腔鏡手術、輸卵管接通手術)、內分泌異常及子宮內膜異位症之診斷及治療、更年期婦女骨質疏鬆症之預防治療、致力於提高卵巢功能及懷孕之研究
吳憲銘,不孕症之診斷及治療、試管嬰兒、人工授精、人工生殖科技、多囊性卵巢症候群、子宮內膜異位症、子宮鏡及腹腔鏡微創手術、婦科腫瘤、專注於提高胚胎著床及懷孕之研究。
黃尚玉,生殖內分泌、不孕症治療、人工生殖科技、子宮內膜異位症、內視鏡手術、婦科腫瘤、多囊性卵囊症候群、超音波排卵監測、一般婦產科
徐樂天,不孕症之診斷及治療(超音波排卵監測、取卵、人工受孕、胚胎植入、子宮鏡及腹腔鏡微創手術、輸卵管接通手術)、子宮內膜異位症、多囊性卵囊症候群、生殖內分泌、回復及提高卵巢功能、改善子宮內膜、一般婦產科
白欣玉,不孕症之診斷及治療(排卵誘導及監測、取卵、人工受孕、胚胎植入、試管嬰兒、人工生殖科技、輸卵管接通手術），生殖細胞保存 （冷凍卵子，凍精蟲）、子宮內膜異位症、多囊性卵囊症候群、生殖內分泌、婦科腫瘤、子宮鏡及腹腔鏡微創手術、海扶刀肌瘤腺瘤無傷口手術、一般婦產科
劉尚旻,不孕症之診斷及治療(超音波排卵監測、人工授精、人工生殖科技、試管嬰兒)、子宮鏡手術、微創腹腔鏡與達文西機械手臂生殖微創手術(肌瘤切除、輸卵管接通、整型、卵巢腫瘤切除)、子宮內膜異位症及多囊性卵巢之診斷及治療、月經失調、一般婦產科
蔡天琦,不孕症之診斷及治療、一般婦產科
賴瓊慧,婦產科學、婦科手術、婦科癌症手術、化療及相關診治、人類乳突病毒基因型分析、婦癌分子流行病學、生物標記、預後因素
張廷彰,婦產科學、婦科手術、婦癌研究與治療、婦科癌症手術、化療及相關診治、人體臨床試驗設計執行與分析、生物統計
周宏學,婦產科學、婦科手術、婦科腫瘤診治、婦科癌症傳統及微創手術、化學治療、精準醫療、免疫療法、癌症細胞治療、各種新式癌症治療方式、婦科癌症主流基因諮詢、杜卜勒超音波、轉譯醫學研究與應用、臨床試驗設計及執行、醫學教育研究及推廣
趙安琪,婦產科學、婦科手術、婦科癌症手術、化療及相關診治、腫瘤生物學、人類乳突病毒、基因變異研究
黃慧君,1. 婦產科學。 2. 婦科手術。 3. 婦科癌症手術、化療及相關診治。 4. 乳癌的超音波篩檢。
林政道,1. 傳統癌症手術合併癌症免疫治療 2. 免疫監控點腫瘤藥物(Immuno-Oncologic Drugs)治療 3. 殺手細胞激素抗癌治療(CiK) 4. 婦科癌症手術、化療及相關診治 5. 人類乳狀病毒—核酸檢驗輔助子宮頸抹片篩檢 6. 子宮頸癌前期的預防篩選、傳統治療、免疫治療 7. 子宮頸癌預防疫苗、治療疫苗 8. 婦科癌症相關免疫療法 9. 免疫檢查抑制抗癌治療
陳敏煜,婦產科學、婦科手術、婦科癌症手術、化療及相關診治
陳威君,達文西機械手臂手術(肌瘤切除、腺瘤切除、子宮內膜癌婦癌淋巴分期微創手術）、海扶刀肌瘤腺瘤無傷口手術、肌腺瘤微波消融手術、、腹腔鏡微創手術(子宮肌瘤切除、肌腺瘤切除、子宮內膜異位症、巧克力囊腫、卵巢囊腫手術、沾黏分離手術)、子宮腔鏡手術、瘜肉手術、婦科腫瘤癌症(子宮頸癌、子宮內膜癌症、卵巢癌)手術、婦科癌症腹腔熱化學治療、子宮肌瘤/腺瘤保留子宮諮詢
湯雲心,1. 婦產科學 2. 婦科手術。 3. 婦科癌症手術、化療及相關診治。
張淑涵,婦產科學、婦科手術、婦科癌症手術、化療及相關診治。
