醫師姓名,專長
楊智偉,急慢性腎臟疾病、血液透析、腹膜透析、糖尿病腎臟病變、鉤端螺旋體感染病變
方基存,急慢性腎臟疾病、血液透析、腹膜透析、高血壓、腎臟移植
田亞中,急慢性腎臟疾病、血液透析、腹膜透析、腎臟移植、腎纖維化研究、糖尿病及高血壓
陳永昌,急慢性腎臟疾病、血液透析與洗肝、肝硬化合併腎功能不全、水腫與體液調節
顏宗海,腎臟學、毒理學、食品安全
張明揚,多囊腎研究與治療、血液透析與腹膜透析、急慢性腎臟疾病、血漿交換術
楊皇煜,急慢性腎臟疾病、血液透析、腹膜透析、高血壓、糖尿病腎病變、血尿、蛋白尿、泡沫尿、水腫、泌尿道感染、電解質異常、腎臟超音波
鄭昌錡,急慢性腎臟疾病、血液透析、腹膜透析、高血壓、糖尿病腎病變、血尿、蛋白尿、泡沫尿、水腫、泌尿道感染、電解質異常、腎臟超音波
陳冠興,急慢性腎臟疾病、血液透析、腹膜透析、高血壓、糖尿病腎病變、血尿、蛋白尿、泡沫尿、水腫、泌尿道感染、電解質異常、腎臟超音波
林展宇,急慢性腎臟疾病、血液透析、腹膜透析、高血壓、糖尿病腎病變、血尿、蛋白尿、泡沫尿、水腫、泌尿道感染、電解質異常、腎臟超音波
張智翔,急慢性腎臟疾病、血液透析、腹膜透析、高血壓、糖尿病腎病變、血尿、蛋白尿、泡沫尿、水腫、泌尿道感染、電解質異常、腎臟超音波
李承家,急慢性腎臟疾病、血液透析、腹膜透析、高血壓、糖尿病腎病變、血尿、蛋白尿、泡沫尿、水腫、泌尿道感染、電解質異常、腎臟超音波
顏介立,急慢性腎臟疾病、血液透析、腹膜透析、高血壓、糖尿病腎病變、血尿、蛋白尿、泡沫尿、水腫、泌尿道感染、電解質異常、腎臟超音波
呂悅安,急慢性腎臟疾病、血液透析、腹膜透析、高血壓、糖尿病腎病變、血尿、蛋白尿、泡沫尿、水腫、泌尿道感染、電解質異常、腎臟超音波
湛茗任,急性腎損傷透析脫離及復原期照護 惡性腫瘤、造血幹細胞移植後合併腎功能異常或電解質不平衡 血液透析、腹膜透析及重症透析 臨床毒物學 心臟疾病合併腎功能異常
馬立宜,急慢性腎臟疾病、血液透析、腹膜透析、高血壓、糖尿病腎病變、血尿、蛋白尿、泡沫尿、水腫、泌尿道感染、電解質異常、腎臟超音波
劉怡君,急慢性腎臟疾病、血液透析、腹膜透析、高血壓、糖尿病腎病變、血尿、蛋白尿、泡沫尿、水腫、泌尿道感染、電解質異常、腎臟超音波
黃怡雯,急慢性腎臟疾病、血液透析、腹膜透析、高血壓、糖尿病腎病變、血尿、蛋白尿、泡沫尿、水腫、泌尿道感染、電解質異常、腎臟超音波
林佩萱,急慢性腎臟疾病、血液透析、腹膜透析、高血壓、糖尿病腎病變、血尿、蛋白尿、泡沫尿、水腫、泌尿道感染、電解質異常、腎臟超音波
林唯尹,"內科,血液透析"
郭怡珩,"內科,血液透析"
王邦立,"內科,血液透析"
李思翰,"內科,血液透析"
林可君,"內科,血液透析"
