醫師姓名,專長
陳翊捷,巴金森氏症、肌張力不全、肌躍症、震顫、共濟失調、睡眠障礙、深層腦部刺激術
蘇筱筑,巴金森氏症、肌張力不全、肌躍症、震顫、共濟失調、睡眠障礙
陳柏霖,一般神經疾病、頭痛、巴金森症、腦血管疾病
洪濬,認知功能障礙、感覺系統障礙、動作障礙疾病、帕金森病、帕金森症、肉毒桿菌素注射治療
林宜穎,帕金森病、帕金森症、肌張力不全、步態障礙、動作障礙疾病、失智症、偏頭痛、肉毒桿菌素注射治療、經顱磁刺激術治療
陳瓊珠,帕金森病、帕金森症、動作障礙疾病、深部腦刺激術
翁意欣,帕金森病、帕金森症、失智症、神經遺傳學、神經影像學、動作障礙疾病
陳柔賢,帕金森病、帕金森症、肌張力不全、肌躍動症、肉毒桿菌素注射治療、睡眠障礙、穿顱磁刺激術
馮博裕,帕金森病、帕金森症、肌張力不全、步態障礙、失智症、動作障礙疾病、穿顱磁刺激術
何偉民,年輕型記憶及語言障礙、阿茲海默症及退化性腦部疾病、額顳葉失智症、路易體失智症、癲癇症、腦中風、偏頭痛、巴金森氏症及動作障礙疾病。
陳怡君,失智症及退化性腦部疾病、年輕型失智症、血管性失智症、認知功能障礙、腦中風、水腦症、腦部腫瘤
吳雅媛,失智症及退化性腦部疾病、認知功能障礙、腦中風、血管性失智症、一般神經疾病
徐文俊,神經心理學、失智症、一般神經疾病、腦血管疾病、公共衛生
陳與潔,"神經肌肉疾病, 頭痛,神經免疫疾病"
劉采薇,"神經肌肉疾病, 頭痛, 肉毒桿菌注射,神經免疫疾病"
張君瑋,"一般神經疾病, 神經肌肉疾病"
廖洺鋒,週邊神經疾病、神經性疼痛
張國軒,多發性硬化症、泛視神經脊髓炎、巴金森氏病、亨丁頓氏舞蹈症、脊髓小腦萎縮症、神經退化性疾病、遺傳性神經病變、幹細胞醫學、細胞生物學、神經肌肉超音波
郭弘周,神經肌肉疾病、感染性神經疾病、粒腺體疾病、紫質症
吳逸如,巴金森氏症、肉毒桿菌素注射、肌張力不全、舞蹈症、顫抖症、脊髓小腦共濟失調症、遺傳性神經退化疾病、罕見疾病、神經肌肉疾病
朱俊哲,神經肌肉疾病、神經毒物
張宏旭,交感副交感神經疾病，周邊神經肌肉疾病，癲癇，頭痛，頭暈
陳瓊美,巴金森氏症、小腦萎縮、亨丁頓舞蹈症、動作障礙疾病、遺傳性神經性疾病
羅榮昇,神經遺傳性疾病、多發性硬化症、病態性神經疼痛、頭痛、肌肉病變、重症肌無力症、一般神經疾病
黃錦章,神經毒物學、失智症、粒腺體疾病、重症肌無力症
鄭美雲,癲癇症、睡眠障礙與夜間不自主運動、癲癇手術術前評估、腦皮質功能定位、自體免疫性腦炎、多發性硬化症、視神經脊髓炎、脊髓中風、神經性疼痛。
林秀娜,麻將癲癇、肌抽躍癲癇、頑固型癲癇藥物及高科技治療、神經性疼痛、脊髓病變、眩暈症、頭痛、睡眠障礙。
章寶倫,癲癇症、頑固型癲癇藥物治療、反射性癲癇（麻將癲癇）、癲癇外科手術評估與腦部立體定位、神經性疼痛、頭痛、睡眠障礙、腦部電生理與基因治療研究。
李志鴻,癲癇症、癲癇外科手術立體定位、神經性疼痛、睡眠障礙。
張俊偉,癲癇症及頑固型癲癇治療、急/慢性頭痛、神經性疼痛、睡眠障礙、癲癇外科手術立體定位。
曾偉恩,癲癇症、頑固型癲癇藥物、音樂癲癇、癲癇外科手術定位、頭痛、一般神經科疾病
江星逸,癲癇症、一般神經科疾病、頭痛、頑固型癲癇藥物及高科技治療、睡眠障礙 。
廖庭偉,癲癇症及頑固型癲癇治療、睡眠障礙及夜間不自主運動、腦血管疾病、頭痛、一般神經科疾病。
吳禹利,癲癇症、癲癇外科手術立體定位等高科技治療、神經性疼痛、神經性睡眠障礙。
鄭之光,腦血管疾病
江建霖,腦血管疾病
劉濟弘,腦血管疾病
張庭瑜,腦血管疾病、頭痛、肉毒桿菌治療
張健宏,腦血管疾病
吳秀娟,腦血管疾病、神經退化性疾病、神經分子生物學
張㝢智,腦血管疾病
李宗海,腦血管疾病
陳献宗,腦血管疾病、一般神經科
