醫師姓名,專長
莊啟政,內視鏡腦下垂體腫瘤手術、腦內視鏡手術、顱底手術
徐鵬偉,立體定位放射手術、腦瘤內視鏡手術、手汗症手術
李丞騏,顱底腫瘤及微創手術、腦下垂體腫瘤手術、腦瘤手術
林亞銳,腦瘤手術、顱底腫瘤手術、鑰匙孔微創手術
魏國珍,腦瘤手術、清醒開顱手術、微創鑰匙孔手術。
蔡宏杰,腦瘤手術、腦下垂體腫瘤手術、腦分子生物研究
盧郁仁,腦及脊髓外傷手術、神經重症加護治療、腦瘤微創手術
陳志豐,退化性脊椎手術和椎體固定融合手術、三叉神經痛、神經性疼痛治療及手術
黃盈誠,脊椎神經外科、內視鏡手術、機器手臂輔助手術
吳杰才,腦脊椎神經急重症手術、兒童神經外科手術、腦神經內視境手術
杜柏勳,功能性神經外科、微創脊椎及複雜性脊椎手術，疼痛治療
李靜宜,脊椎病變、帕金森氏症、 功能性神經外科
劉育澤,困難型脊椎手術，內視鏡及微創脊椎手術
張庭瑋,頭部、脊椎外傷、急重症神經外科
李應慶,"急重症神經外科, 外傷. 脊椎手術"
王泓凱,專長 脊椎微創手術 脊椎外傷 頭部外傷
劉倬昊,"脊髓神經損傷治療, 急重症神經外科, 頭部外傷,"
陳敬昌,"神經介入治療,腦血管介入(導管)手術，腦中風及血管疾病手術"
賴宏逸,頭部及脊椎外傷手術，脊椎手術，高頸位頸椎手術
王昱棨,癲癇手術、機器手臂輔助(ROSA)微創手術、腦中風手術
鄭運聰,神經移植 臂叢神經及周邊神經損傷 腦中風肢體重建 腦脊髓外傷及癱瘓手術 腦脊髓腫瘤術中監測導航 脊椎微創手術
陳俊廷,腦血管介入手術，腦中風及血管疾病手術，頭部及脊椎外傷手術
葉汶俊,腦中風及血管疾病手術，頭部及脊椎外傷手術，功能性神經外科
林子欽,頭部及脊椎外傷手術，小兒神經外科急重症神經外科
粘茹恩,急重症神經外科
陳筱芸,"急重症神經外科, 頭部及脊椎外傷手術，機器手臂輔助神經外科"
陳柏安,機器手臂輔助手術、微創脊椎手術、頸椎人工椎間盤手術
李承諭,急重症神經外科
簡碩麒,急重症神經外科、頭部外傷、脊椎外傷
