醫師姓名,專長
余紹銘,腸胃道腫瘤、大腸直腸癌、泌尿道腫瘤、固體腫瘤之癌症治療與諮詢
林永昌,乳癌、泌尿道癌、固體腫瘤之癌症治療與諮詢
張文震,黑色素癌、肺癌、免疫腫瘤、固體腫瘤之癌症治療與諮詢
周文其,大腸直腸癌、胃癌、固體腫瘤之癌症治療與諮詢
陳仁熙,胃癌、膽道癌、胰臟癌、不明部位癌、固體腫瘤之癌症治療與諮詢
王宏銘,頭頸癌、鼻咽癌、口腔癌、固體腫瘤之癌症治療與諮詢
徐正龍,攝護腺癌、頭頸癌、鼻咽癌、固體腫瘤之癌症治療與諮詢
廖繼鼎,腦癌、頭頸癌、食道癌、肺癌、固體腫瘤之癌症治療與諮詢
徐鴻智,大腸直腸癌、腸胃道腫瘤、食道癌、肺癌、固體腫瘤之癌症治療與諮詢
沈雯琪,乳癌、胃癌、胰臟癌、膽道癌、固體腫瘤之癌症治療與諮詢
侯明模,食道癌、肝癌、胃癌、固體腫瘤之癌症治療與諮詢
蘇柏榮,泌尿道癌、胃癌、胰臟癌、膽道癌、固體腫瘤之癌症治療與諮詢
謝佳訓,頭頸癌、食道癌、肝癌、消化道癌、神經內分泌瘤
黃文冠,胃癌、膽道癌、胰臟癌、泌尿道癌、軟組織肉瘤、固體腫瘤之癌症治療與諮詢
郭永嘉,胃癌、膽道癌、胰臟癌、泌尿道癌
楊展庚,乳癌、肝癌、食道癌、固體腫瘤之癌症治療與諮詢
黃振洋,肺癌、消化道癌、皮膚癌、次世代定序資料分析
張杰茵,癌症治療
謝其霖,內科
藍淇禎,內科
許宇維,內科
黃元駿,內科
粘晉同,內科
高振益,安寧療護、老年醫學
彭夢婷,免疫治療諮詢、乳癌、食道癌、固體腫瘤之癌症治療與諮詢
張境夫,肺癌、腸胃道腫瘤、固體腫瘤之癌症治療與諮詢
