醫師姓名,專長
陳宏吉,兒童視力保健、角膜塑形片驗配、飛秒暨準分子雷射近視手術、微型晶片高度近視手術、微創白內障超音波乳化手術、角膜移植暨眼表重建手術、角膜水腫組織工程暨再生醫學、SMILE全飛秒近視雷射
葉龍坤,眼角膜及外眼部疾病、雷射屈光手術、白內障手術、眼角膜移植手術;眼表層重建手術、SMILE全飛秒近視雷射
譚欣媛,眼角膜疾病、屈光手術、SMILE全飛秒近視雷射
洪國烜,角結膜疾病診斷及手術治療 兒童視力保健 續發性白內障雷射手術 微切口白內障超音波乳化手術 SMILE全飛秒近視雷射
孫銘輝,眼神經疾病之治療、一般眼科疾病、白內障手術、斜弱視矯正及治療
劉峻秀,眼神經疾病之治療、一般眼科疾病、白內障手術、斜弱視矯正及治療
黃奕修,"葡萄膜炎/虹彩炎/人工電子眼/眼基因治療權威 難治視網膜疾病, 虹彩炎, 葡萄膜炎診斷與治療 飛蚊症, 老年性黃斑部病變、糖尿病視網膜病變, 各種網膜手術, 脈絡膜鞏膜疾患, 罕見網膜疾病諮詢, 白內障術後併發症"
陳冠任,視網膜、脈絡膜和玻璃体病變之診斷和治療、眼部外傷和眼內炎之處理、視網膜剝離和白內障、糖尿病視網膜病變及其它視網膜疾病之手術
趙安年,視網膜疾病、眼部腫瘤
吳為吉,視網膜剝離，黃斑部退化，黃斑部破孔、白內障、糖尿病視網膜病變、早產兒視網膜病變，及其它視網膜疾病
劉珍吟,糖尿病視網膜病變、視網膜剝離、飛蚊症、白內障晶體超音波乳化術
王南凱,遺傳性視網膜病變、視覺電生理、基因檢測、黃斑部和視網膜病變、高度近視視網膜病變、糖尿病視網膜病變、視網膜和白內障手術
陳怡杏,視網膜剝離、糖尿病視網膜疾患、白內障、黃斑部病變、葡萄膜炎、其他視網膜病變
周宏達,眼腫瘤、黃斑部病變及黃斑部手術、高度近視併發症、複雜性視網膜手術、糖尿病視網膜病變、複雜性白內障手術
康祐銓,"糖尿病視網膜病變、黃斑部病變、視網膜病變、視網膜剝離、玻璃體與視網膜退化、白內障、微創視網膜手術、微創黃斑部手術、微創與雷射輔助白內障超音波手術 Diabetic retinopathy, macular and retinal degeneration, retinopathy, retinal detachment, cataract surgery, vitreo-retinal surgery"
范遠耀,斜視手術、弱視訓練、兒童眼疾、一般眼科疾病、白內障手術
沈素琴,飛秒雷射白內障手術、青光眼診斷與治療、青光眼雷射(小樑成型、虹膜切開)、青光眼手術(小樑切除術、小樑切開術、微創導管植入術、複雜型導管植入術)、一般眼疾診斷治療及驗光配鏡、高解析度超音波顯微影像檢查
李泳松,飛秒雷射白內障手術、青光眼診斷與治療、青光眼雷射(小樑成型、虹膜切開)、青光眼手術(小樑切除術、小樑切開術、微創導管植入術、複雜型導管植入術)
鄭毓郡,白內障手術、青光眼診斷與治療、青光眼手術
褚晏彰,"溢淚、眼瞼下垂、眼窩疾病、雙眼皮,眼袋"
蔡悅如,眼窩疾病及手術;白內障手術、甲狀腺眼疾及眼窩腫瘤、義眼的手術及配置、美容雙眼皮手術
廖依琳,眼瞼及眼皮下垂、睫毛倒插手術淚管手術眼窩骨折、眼窩擴窗手術眼球、眼窩各類腫瘤摘除手術、白內障手術
嚴介宏,小切口白內障手術(含飛秒雷射輔助白內障手術)，眼瞼下垂、眼瞼內翻、外翻及睫毛倒插矯正手術，雙眼皮及眼袋手術，溢淚及鼻淚管阻塞，眼瞼及眼窩腫瘤
