醫師姓名,專長
趙偉傑,耳咽管功能失調、耳咽管成形手術、微創中耳手術、兒童聽語評估、兒童耳鼻喉
詹凱傑,人工電子耳植入、小耳症聽力重建包括耳道閉鎖重建手術及骨導型助聽器植入)、中耳手術 (鼓膜穿孔修補、膽脂瘤、聽小骨重建及耳硬化鐙骨手術)、面神經麻痺減壓手術、腦脊髓液漏修補、側顱底手術及顳骨腫瘤切除(外耳癌、靜脈球瘤、及聽神經瘤)。
連珖旭,一般耳鼻喉科、慢性中耳炎、耳鳴、眩暈、鼻過敏、鼻竇炎、鼻竇內視鏡、打鼾及睡眠呼吸障礙、聲音嘶啞、頭頸部腫瘤、口腔癌、兒童耳鼻喉科、助聽器選配
陳仕龍,一般耳鼻喉科、慢性中耳炎、耳鳴、眩暈、鼻過敏、鼻竇炎、鼻竇內視鏡、打鼾及睡眠呼吸障礙、聲音嘶啞、頭頸部腫瘤、口腔癌、兒童耳鼻喉科、助聽器選配
陳錦國,人工電子耳、人工耳蝸、耳內鏡手術、助聽器選配與BAHA植入、Bone Bridge植入、助聽器選配與BAHA植入耳科手術疾病之診治(外耳腫瘤、耳膜穿孔、膽脂瘤、聽小骨重建)、耳內科疾病之診治(耳癢症、外耳炎、中耳炎)、聽力障礙、眩暈症、耳鳴治療、一般耳鼻喉疾病
吳哲民,人工電子耳手術(659例868耳)、中耳手術〔中耳炎鼓室成型術(8000例)、膽脂瘤與慢性肉芽性中耳炎乳突鑿開術(約1200例)、鐙骨置換或造口術(近100例)手術〕、助聽器選配諮詢、聽力障礙、耳鳴、眩暈治療與諮詢、內耳手術〔梅尼內淋巴囊引流、迷路切除術 (約150例)
胡志宇,"一般耳鼻喉科、慢性中耳炎、耳鳴、眩暈、鼻過敏、鼻竇炎、鼻竇內視鏡、打鼾及睡眠呼吸障礙、聲音嘶啞、頭頸部腫瘤、口腔癌、兒童耳鼻喉科、助聽器選配,"
薛翔安,鼻竇內視鏡、鼻過敏、嗅覺障礙、復發性鼻竇炎
傅嘉祥,鼻竇內視鏡手術、一般耳鼻喉科、兒童耳鼻喉疾病、鼻過敏、鼻中膈彎曲
張伯宏,鼻過敏、嗅覺障礙及復發性鼻竇炎、鼻竇內視鏡手術、一般耳鼻喉科
吳佳臻,一般耳鼻喉科、鼻過敏、兒童耳鼻喉疾病、嗅覺障礙及復發性鼻竇炎、鼻竇內視鏡
黃建嘉,鼻過敏、鼻竇炎、鼻竇內視鏡、鼻腫瘤、打鼾及睡眠呼吸障礙、兒童耳鼻喉科
吳佩雯,鼻過敏、鼻息肉、鼻竇炎、頭頸部腫瘤、打鼾、睡眠呼吸中止症、聲帶病灶、耳症、兒童耳鼻喉科
李達人,鼻過敏、嗅覺障礙及復發性鼻竇炎、鼻竇內視鏡、鼻整型、鼻因性頭痛
黃啟哲,鼻過敏、嗅覺障礙及復發性鼻竇炎、鼻竇內視鏡、鼻整型、一般鼻症
方端仁,喉部聲帶疾病、嗓音外科、達文西機器手臂手術、打鼾手術、咽喉癌雷射手術、頭頸部腫瘤手術
李立昂,睡眠醫學、睡眠外科、達文西手術、喉科學、頭頸部感染、兒童耳鼻喉科學、醫學教育
林婉妮,呼吸道重建，喉頭頸腫瘤及頭頸超音波，達文西手術
辛立仁,達文西機械手臂經口甲狀腺切除手術，唾液腺內視鏡取石手術，睡眠內視鏡手術，喉顯微雷射切除早期喉癌手術，舌根懸吊手術
盧怡安,咽喉腫瘤手術，睡眠呼吸中止症
李學禹,打鼾與睡眠呼吸中止症，睡眠醫學，喉科學
張凱評,頭頸部外科手術、 顱底腫瘤手術、唾液腺手術、口腔癌手術。
方谷豪,口腔癌篩檢診斷與外科手術治療、鼻咽癌與咽喉癌之診斷與手術、唾液腺腫瘤與頭頸部腫瘤外科手術治療
康仲然,頭頸部腫瘤外科手術、口腔癌手術、喉癌、下咽癌診斷與外科治療
黃祥富,"頭頸部腫瘤腫瘤外科手術、口腔癌手術、鼻咽癌診斷,治療、喉癌,下咽癌診斷與外科治療"
蔡宗佑,口腔癌篩檢、診斷與外科手術治療、口咽癌與咽喉癌之診斷與手術、腮腺腫瘤與頭頸部腫瘤外科手術治療、頭頸部外科手術
胡育鳳,口腔癌篩檢、診斷與外科手術治療、口咽癌與咽喉癌之診斷與手術、腮腺腫瘤與頭頸部腫瘤外科手術治療
葉家齊,口腔癌篩檢、診斷與外科手術治療、口咽癌與咽喉癌之診斷與手術、腮腺腫瘤與頭頸部腫瘤外科手術治療
陳煒翔,一般耳鼻喉科、耳鼻喉頭頸外科、口腔癌篩檢、診斷與外科手術治療、口咽癌與咽喉癌之診斷與手術、腮腺腫瘤與頭頸部腫瘤外科手術治療
蕭雅薇,口腔癌篩檢、診斷與外科手術治療、口咽癌與咽喉癌之診斷與手術、腮腺腫瘤與頭頸部腫瘤外科手術治療
廖俊達,頭頸部腫瘤
楊濟匡,頭頸部腫瘤手術，口腔癌，鼻咽癌，喉癌，下咽癌診斷與治療 鼻竇炎鼻過敏 打鼾與睡眠呼吸中止症，聲音沙啞 中耳炎眩暈症
