醫師姓名,專長
朱世明,新生兒及早產兒呼吸照護、新生兒及早產兒呼吸生理學研究、吸入性一氧化氮治療新生兒肺動脈高壓症、以新生兒呼吸生理為基礎所發展的新型呼吸器
李建忠,新生兒重症加護、早產兒照護和追蹤、兒童疫苗及預防保健、兒童急症處理、兒童一般醫學
江明洲,新生兒急重症及神經學、嬰幼兒預防保健、早產兒重症加護治療
徐任甫,一般新生兒科學、新生兒營養、早產兒加護治療
傅仁煇,一般兒科疾病、新生兒重症加護、早產兒一般疾病及重症加護、氧氣自由由基傷害、新生兒肺部疾病及治療、嬰幼兒急重症、嬰幼兒預防保健、早產兒重症加護治療、醫學教育
楊長佑,一般小兒科學、新生兒科學、兒童胸腔醫學、兒童急重症加護
許凱翔,新生兒照護、早產兒追蹤、疫苗及預防保健
賴美吟,兒科.新生兒科
吳怡萱,兒科.新生兒科
吳維閎,兒科.新生兒科
許庭恩,一般兒科
阮昱棠,一般兒科
林奏延,小兒科學、感染症、兒童急救加護醫學
黃玉成,小兒科學、感染症、流行病學
謝育嘉,一般兒科、小兒感染、肺炎、疫苗
陳志榮,小兒科學、感染症、兒童急救加護醫學、肺炎、疫苗
邱政洵,細菌致病機制、細菌抗藥機轉及流行病學、疫苗、兒童感染症
郭貞孍,一般兒科、嬰幼兒感染症、疫苗接種、發燒
蔡明翰,腦膜炎、腦炎、中耳炎、鼻竇炎、肺炎、腸胃炎、腸病毒、流感及其他病毒感染性疾病、兒童發燒、川崎症
陳苡靜,兒童疾病、感染症
賴明瑋,兒童肝臟疾病、兒童胃腸道疾病、兒童營養學、兒童內視鏡檢查與治療、病毒性肝炎
趙舜卿,兒童胃腸肝臟學、兒童營養學、兒童腹部超音波、兒童消化道內視鏡
陳建彰,兒童胃腸道及肝膽疾病、兒童營養學、兒童腹部超音波檢查、兒童內視鏡檢查與治療、益生菌及腸道疾病相關研究
蘇莞心,兒童胃腸道及肝膽疾病、兒童營養學、兒童腹部超音波檢查、兒童內視鏡檢查與治療
劉嘉威,一般兒科、兒童腸胃科
黃璟隆,過敏氣喘、過敏性鼻炎、風濕性疾病、紅斑性狼瘡、小兒過敏免疫疾病
蘇冠文,食物過敏；異位性皮膚炎；過敏性鼻炎；蕁麻疹；氣喘；兒童免疫力不足；紅斑性狼瘡；幼年型類風濕性關節炎；過敏性紫斑症；川崎症
林思偕,過敏氣喘、過敏性鼻炎、風濕性疾病、小兒過敏免疫疾病
葉國偉,氣喘診治與教育、嬰幼兒喘鳴、過敏症防治與篩檢、過敏性鼻炎、蕁麻疹
李文益,過敏氣喘、免疫力評估、多重性反覆感染、免疫缺損的積極診治、免疫缺損的基因學診斷
姚宗杰,氣喘、過敏性鼻炎、嬰幼兒過敏病防治、減敏治療、蕁麻疹、紫斑症、川崎病、兒童風濕疾病、基因體學、一般兒科疾病
歐良修,氣喘、過敏性鼻炎、異位性皮膚炎、兒童風濕病
吳昭儀,過敏氣喘、鼻過敏、異位性皮膚炎、蕁麻疹、食物過敏、兒童紅斑性狼瘡、關節炎等風濕疾病、一般兒科疾病
