醫師姓名,專長
林有德,手部及腕關節外傷、手部周邊神經病變
顏琤嬑,鼻部整形重建、巨形黑色素痣、燒燙傷整形重建、皮膚癌症治療、慢性傷口治療、各式雷射、一般美容手術
張淑茵,眼整形、微整形、抽脂、狐臭、疤痕
權秀河,慢性傷口照護與重建 燒燙傷治療及重建 疤痕照護與修疤 顏面部整形及重建 各式雷射、美容手術、抽脂體雕、自體脂肪移植 私密處整形手術 軟組織及皮膚腫瘤切除
毛士軒,一般整形重建、燒燙傷整形重建、皮膚癌症治療、急慢性傷口治療、疤痕及蟹足腫治療、各式雷射及美容手術、內視鏡重建及美容手術、 脊髓損傷相關傷口及神經重建
蘇群琳,顱顏整形與重建手術、正顎及削骨手術、眼整形手術（雙眼皮、眼袋）、鼻整形手術、臉部拉皮手術、自體脂肪移植、光電雷射治療、肉毒桿菌與玻尿酸注射
林政輝,正顎手術、睡眠呼吸中止症、唇顎裂及顱顏畸形
陳昱瑞,"整形,顱顏重建,正顎手術"
王柏方,顱顏整形、外傷重建整形、一般美容整形、雷射手術
羅綸洲,整形美容、顱顏重建美容、唇顎裂、正顎手術、自體脂肪移植
周邦昀,正顎手術、外傷重建整形、眼袋、拉皮手術、雷射手術
林志鴻,乳房顯微皮瓣重建、上下肢淋巴水腫、內視鏡隆乳、雙眼皮、眼袋、斷指、斷肢顯微再植、手外傷重建、手先天性畸形重建、上肢＆下肢創傷重建、顯微重建、頭頸部腫瘤切除後重建、雙眼皮、下眼袋、隆乳、抽脂、疤痕整形美容手術、神經纖維瘤肢體重建及蛋白質基礎醫學研究、腳趾移植手指重建、軀體胸腹組織缺損重建
曹中侃,頭頸部及食道重建、張口困難重建、顏面整形美容、體雕塑形美容
高煌凱,頭頸部重建、美容手術( 雙眼皮、眼袋、拉皮、抽脂、自體脂肪移植)、幹細胞研究
黃嫆茹,達文西乳癌切除後立即性重建、乳房重建、乳房美容手術(內視鏡隆乳、縮乳、乳頭整形)、淋巴水腫手術治療、女性私密處整形、頭頸部重建、超顯微手術、婦癌重建
張乃仁,各種周邊神經重建包含乳房神經重建、臂叢神經，顏面神經，上下肢神經損傷，神經腫瘤，壓迫（腕隧道，肘隧道症候群，胸腔出口症候群），達文西輔助交感神經鍊重建手術，原發性手腳汗選擇性神經切除手術。各種顯微重建包含頭頸部，上下肢，軀幹，外陰顯微重建，手外科。 各種美容手術包含上下眼瞼手術，拉皮，抽脂及填充，微整形。
蔣春福,2025年9月起自美國克利夫蘭診所結束進修返國（克利夫蘭醫學中心；英語：Cleveland Clinic） 頭頸重建，乳房美容及重建，上下肢肢體重建，腹部整形，抽脂及自體脂肪注射，淋巴水腫
陳嘉芳,會陰部整形、會陰癌重建、骨盆重建、性別置換會陰修整、乳房整形、乳癌重建、腹部拉皮、抽脂體雕、皮膚雷射治療
林大鈞,顯微重建手術、頭頸部重建、皮膚良性惡性腫瘤切除重建手術、疤痕重建手術
郭曉芮,(2025年9月起支援大里仁愛醫院)，頭頸部重建
張文榕,(2026年8月起支援嘉義長庚紀念醫院)、顯微重建整形外科、整形外科
洪紹育,(2025年8月起前往美國史丹福大學醫院進修) 顯微手術、頭頸部重建、眼部整形手術、顏面整形回春手術、抽脂及自體脂肪移植手術、皮膚良性惡性腫瘤切除重建手術、疤痕重建手術
魏福全,顯微重建手術、整形美容手術
陳建宗,內視鏡顏面拉皮，隆乳手術 顱顏整形 ，正顎手術，隆鼻，眼袋，雙眼皮手術 內視鏡削骨手術 顏面外傷重建整形，疤痕美化手術 一般美容，身體脂肪移植整形手術
陳志豪,精準顏面外傷重建手術、正顎及顏面削骨手術、3D列印暨內視鏡輔助顱顏整形重建手術、顏面疼痛及顳顎關節障礙手術、精緻眼周及鼻整形手術、細胞治療及再生醫學技術
葉俊廷,慢性傷口糖尿病足及疤痕重、軟組織腫瘤、皮膚病變及腫瘤重建、外傷重建整形、一般美容整形、雷射手術
許聰政,小兒手足畸形、外傷重建整形、一般美容整形、雷射手術、手外科、小兒手外科
林承弘,上下肢肢體重建、顯微重建手術、手外科、異體複合移植（上肢及臉移植）、一般美容整形及雷射手術
廖漢聰,"顱顏整形,正顎手術,削骨手術、顏面骨折外傷重建整形、一般美容整形(隆鼻,隆乳,抽脂,上下眼皮)、雷射手術、內視鏡手術,拉皮手術,3D列印及導航精準顱顏重建手術"
胡瀞暄,"性別置換手術,變性手術,臉部女性化,提眉,削骨, 平胸,隆乳,腰臀柔化,縮肩手術"
黃仁穩,肢體外傷重建、顏面外傷重建、臉移植臨床及免疫研究、顏面整形、慢性傷口
朱育瑩,顏面外傷與顎顏面重建手術、正顎手術與顏面骨重建、顏面部美容整形手術、女性生殖器回春及乳房美容手術、抽脂及自體脂肪移植手術、臉部回春微整形及雷射處置、軟骨組織工程與再生醫學、肢體外傷及重建手術
李哲雄,上下肢外傷肢體重建、手外科、顯微重建手術、慢性傷口、顏面部外傷重建、美容整形：隆鼻、隆乳、抽脂、上下眼皮、雷射手術，皮膚病變及腫瘤重建
賴柏儒,"顱顏整形、正顎手術、削骨手術、外傷重建整形、一般美容整形(隆鼻,隆乳,抽脂,上下眼皮)、雷射手術"
陳志豪,精準顏面外傷重建手術、正顎及顏面削骨手術、3D列印暨內視鏡輔助顱顏整形重建手術、顏面疼痛及顳顎關節障礙手術、精緻眼周及鼻整形手術、細胞治療及再生醫學技術
陳思恒,手外傷及腕關節外傷、外傷重建整形、一般美容整形、雷射手術、淋巴吻合手術
