醫師姓名,專長
游正府,科主任；大腸、直腸、肛門等相關疾病；達文西機械手臂微創手術
陳進勛,大腸、直腸、肛門等相關疾病
江支銘,大腸直腸肛門外科
葉建裕,大腸、直腸、肛門等相關疾病；達文西機械手臂微創手術
謝寶秀,大腸、直腸、肛門等相關疾病；達文西機械手臂微創手術
蔣昇甫,大腸直腸癌之手術治療(含微創手術)、大腸直腸癌之輔助化學治療(含標靶藥物療法)、大腸鏡檢查(麻醉、一般)、痔瘡手術、肛門瘺管手術、大腸相關疾病(大腸憩室、潰瘍性大腸炎、大腸激躁症、便秘)等
賴正洲,"【大腸直腸癌】 ●	『合併腸阻塞』:先大腸支架置放(內減壓)或大腸造口(外減壓),再安排後續手術治療. ●	『早中期』:達文西機械手臂手術或3D微創內視鏡手術,術後追蹤與輔助化學治療. ●	『晚期合併遠處轉移』: 標靶與化學治療和多團隊合作介入治療. ●	『中低位直腸癌』:前導型放射線合併化學治療,及安排後續治療(包括密切追蹤或經肛門微創內視鏡手術或達文西機械手臂手術或3D微創內視鏡手術). ●	『末期』:安寧緩和支持療法和多團隊介入減緩不適症狀. 【清醒/舒眠大腸鏡檢查】(包括瘜肉切除、內視鏡粘膜切除術和內視鏡粘膜下剝離術). 【痔瘡】『急性痔瘡』:評估衛教與藥物治療 // 『長期痔瘡』:評估衛教與藥物治療和手術治療 【便祕】『一般型便祕』:評估衛教與藥物治療 // 『頑固型便祕』:評估衛教與藥物治療和手術治療"
林耕平,大腸、直腸、肛門等相關疾病 微創腹腔鏡手術；達文西機械手臂微創手術 ; 腹腔內溫熱化療(HIPEC) ; 代謝質體暨預防醫學研究
許祐仁,▲大腸直腸癌精準合適治療：達文西機械手臂手術（Robotic Surgery）、3D微創內視鏡手術、自然孔大腸直腸切除手術(NOSE)、經肛門微創內視鏡手術（TAMIS、TaTME）、微創腸造口關閉手術、大腸直腸腹膜癌腫瘤減積手術(Cytoreductive Surgery)、腹腔內溫熱化學治療手術(HIPEC)、加壓腹膜內氣霧化學療法（PIPAC）、骨盆廓清併薦椎骨切除手術(Pelvic exenteration with sacrectomy)、精準化學.標靶及免疫治療。 ▲肛門良性疾患手術：精準痔瘡肛門整形手術、肛裂、肛門狹窄、微創肛門廔管手術、藏毛竇手術、化膿性汗腺炎手術。 ▲清醒/舒眠大腸鏡檢查與瘜肉病灶切除、內視鏡粘膜下剝離術(Endoscopic Submucosal Dissection)。 ▲大腸直腸良性疾患：便秘處理與手術、大腸直腸急症手術、大腸憩室炎手術、發炎性腸道手術、骨盆生理學、直腸脫垂手術。
陳繹中,大腸直腸癌精準合適治療; 達文西機械手臂手術與微創手術(MIS); 大腸直腸癌切除手術與快速恢復治療(ERAS); 自然孔大腸直腸切除手術(NOSE); 經肛門直腸癌與淋巴廓清手術(TaTME); 微創腸造口關閉手術; 大腸直腸癌復發治療與減積手術(CRS); 腹腔內溫熱化學治療手術(HIPEC); 痔精割手術與肛門整形; 肛門廔管; 便秘處理與手術; 大腸直腸急症手術; 大腸鏡檢查與息肉病灶切除
林岳辰,大腸、直腸、肛門等相關疾病；達文西機械手臂微創手術
廖俊凱,大腸、直腸、肛門等相關疾病治療；微創痔瘡切除手術、肛門廔管手術；大腸直腸惡性腫瘤診斷及治療；3D微創腹腔鏡手術；達文西機械手臂微創手術；腹腔鏡直腸(脫垂)固定手術；腹腔內溫熱化療(HIPEC)；無痛大腸鏡檢查；大腸支架置放手術
鄭景中,大腸、直腸、肛門等相關疾病；腹腔鏡微創手術；達文西機械手臂微創手術；自然孔大腸直腸切除手術；腹腔內溫熱化療；大腸鏡檢查及息肉病灶切除；肛門直腸生理學檢查；肛門直腸超音波檢查
孫麒洹,大腸、直腸、肛門等相關疾病；達文西機械手臂微創手術
黃緒桓,微創大腸直腸癌手術、微創免住院痔瘡切除、機器手臂微創手術、大腸鏡檢查及息肉切除、內視鏡肛門廔管治療(VAAFT)、內視鏡黏膜下剝離術(ESD)、單孔腹腔鏡手術、複雜性肛門廔管治療、發炎性腸道疾病(IBD)。
賴以立,●大腸直腸癌精準微創治療：3D 微創腹腔鏡手術、達文西機械手臂手術（Da Vinci Robotic surgery）、自然孔骨盆腔進階微創根治手術（NOSE、TAMIS、TaTME）、腹膜腫瘤減積手術（CytoReductive Surgery）、腹腔內溫熱化學治療（HIPEC）、基因定序化學標靶及免疫細胞療法。 ●肛門良性疾患微創手術：微創痔瘡肛門整型手術、肛裂、微創肛門廔管手術（LIFT）、肛門菜花、藏毛竇及膿瘍手術。 ●無痛大腸鏡檢查與瘜肉切除、內視鏡粘膜下剝離術（ESD）。●排便相關疑難雜症：便秘治療、肛門直腸生理檢查及手術。下消化道急症手術。
郭雅婷,大腸、直腸及肛門相關疾病治療；大腸直腸惡性腫瘤及良性疾患手術：達文西機械手臂微創手術、3D微創腹腔鏡手術、腹腔內溫熱化療（HIPEC)；肛門良性疾患手術：微創痔瘡切除手術、肛門廔管手術；大腸鏡檢查
鍾伯康,大腸、直腸、肛門等相關疾病及腹腔鏡手術
王立名,大腸、直腸、肛門等相關疾病及腹腔鏡手術
于鎮豪,大腸、直腸、肛門等相關疾病；達文西機械手臂微創手術
林迺喻,大腸、直腸、肛門等相關疾病; 微創手術、大腸支架置放
