姓名,專長
陳智光,肌肉骨骼神經復健、運動傷害評估治療、肌骨超音波導引治療、骨震波與增生注射
裴育晟,關節炎及肌內骨骼疼痛治療、超音波導引注射、腦神經及脊髓損傷復健、經臚磁刺激
王錦滿,兒童復健、發展遲緩、吞嚥困難、關節疾患復健、脊髓損傷復健
游東陽,骨骼肌肉、神經復健、一般復健、軟組織超音波檢查
吳佩璇,關節炎及肌內骨骼疼痛治療、腦神經及脊髓損傷復健、燒燙傷復健
陳芝琪,關節炎及肌肉骨骼疼痛治療、腦神經及脊髓損傷復健、兒童復建、早期療育
張翔寧,關節炎及肌肉骨骼疼痛治療、腦神經及脊髓損傷復健、體外震波治療、兒童復建、早期療育
陳建宏,運動醫學復健、體外震波治療、關節炎及肌肉骨骼疼痛治療、超音波導引注射
吳致寬,關節炎及肌肉骨骼疼痛治療、腦神經及脊髓損傷復健、超音波導引注射、體外震波治療、運動醫學復健
許韶芝,神經復健、兒童早療、運動醫學
何長軒,運動醫學、門診/住院神經復健、神經肌肉骨骼超音波診察／導引注射治療、增生療法與體外震波、術後復健與訓練、經顱磁刺激治療
陳嘉玲,發展遲緩、注意力不足/自閉症兒童、腦部病變疾患(如腦性麻痺、頭部受傷、腦中風)、兒童復健、早期療育、創新治療方案
鍾佳英,兒童復健、早期療育、語言發展、吞嚥障礙、認知神經科學
黃美涓,兒童復健、神經復健、義肢裝具、復健工程
蔡文鐘,超音波導引注射治療、關節炎、骨質疏鬆症復健、疼痛治療、運動醫學
林瀛洲,運動醫學
陳靖倫,超音波於骨關節肌肉方面的應用、認知科學、疼痛治療、經顱磁刺激、靜脈雷射治療
鄭如芠,神經復健、一般復健、電學診斷
陳寬宏,關節炎及肌內骨骼疼痛治療、超音波導引注射、腦神經及脊髓損傷復健、經顱磁刺激、痙攣注射、兒童早療
林奕均,一般復健、骨胳肌肉與神經復健、兒童復健
黃書群,心臟復健、骨骼肌肉復健、軟組織超音波、脊髓損傷復健、中風復健、兒童早期療育
鍾維勵,一般復健
劉國正,兒童早期療育、關節炎及肌肉骨骼疼痛復健、運動醫學、心肺復健、腦中風及脊隨損傷復健、超音波引導注射治療、增生療法、乾針治療
歐陽良俊,兒童早期療育、關節炎及肌肉骨骼疼痛復健、運動醫學、心肺復健、腦中風及脊隨損傷復健、超音波引導注射治療、增生療法、乾針治療
