醫師姓名,專長
趙盈凱,胸腔鏡微創手術肺腫瘤、食道腫瘤、縱膈腫瘤、胸腺切除、氣胸、肺癌手術、食道手術、胸腔鏡手術、漏斗胸矯正、達文西機器人手術。
陳維勳,肺移植、肺癌微創手術、肺腫瘤雷射定位手術 、 食道癌微創手術 、縱隔腔腫瘤微創手術、 氣管支架、食道支架、 胸廓手術 、 達文西機器人輔助手術、 胸腔內熱化療 、 漏斗胸矯正手術
吳怡成,食道疾病、氣胸、氣管、胸腔鏡、食道腫瘤、縱膈腔腫瘤、肺臟腫瘤等手術。
劉永恆,肺癌、肺臟腫瘤、內視鏡手術、肺移植手術、食道癌、食道腫瘤、食道重建暨內視鏡手術、氣胸、膿胸、肺積水、縱膈腔腫瘤、胸腺腫瘤暨內視鏡手術、氣管狹窄、氣管腫瘤暨氣管支架手術。
謝明儒,食道疾病及肺腫瘤、氣胸、氣管、胸腔鏡等手術。
吳青陽,肺癌、食道癌、縱膈腔等單孔微創胸腔鏡手術，人工血管靜脈注射座，達文西機器手臂輔助手術，胸腔腫瘤冷凍治療及熱消融，胸腔內熱化療。
邱健宏,肺癌、食道癌、縱膈腔等胸腔微創手術、氣管及食道支架，肺臟移植，胸廓重建手術
范馨月,肺癌、縱膈腔等胸腔微創手術，肺臟移植，胸腔腫瘤冷凍治療，氣管內治療。
周品立,肺癌、食道癌、縱膈腔等胸腔微創手術、肺臟移植、氣管及食道支架、胸腔冷凍治療、胸腔內熱化療、胸廓重建手術 、人工血管靜脈注射座。
廖啓耀,食道腫瘤手術、肺腫瘤手術、縱隔腔腫瘤手術、胸壁重建手術、機器手臂輔助手術。
吳青峰,肺癌、食道癌、縱膈腔等單孔微創胸腔鏡手術，胸腔內熱化療，胸廓重建手術 ，達文西機器手臂輔助手術。
邱健宏,肺癌、食道癌、縱膈腔等胸腔微創手術、氣管及食道支架，肺臟移植，胸廓重建手術
