醫師姓名,專長
康世晴,外傷急重症醫療、腹部急症、多重外傷、腹腔鏡微創手術(肝膽胰胃腸)
謝奇勳,外傷急重症醫療、外傷免疫學、多重外傷、腹部急症、腹腔鏡微創手術(肝膽胰胃腸)、腹腔鏡疝氣手術
傅志遠,外傷影像學、多重外傷、腹部急症、腹腔鏡微創手術(肝膽胰胃腸)
廖健宏,急診醫療、外傷急重症醫療、腹部急症、多重外傷、腹腔鏡微創手術(肝膽胰胃腸)
歐陽俊祥,急診醫療、外傷急重症醫療、腹部急症、多重外傷、腹腔鏡微創手術(肝膽胰胃腸)
陳思安,急診醫療、外傷急重症醫療、腹部急症、多重外傷、腹腔鏡微創手術(肝膽胰胃腸)
許致博,急診醫療、外傷急重症醫療、腹部急症、多重外傷、腹腔鏡微創手術(肝膽胰胃腸)
鄭啟桐,急診醫療、外傷及重症醫療、肝膽胃腸外科手術、肋骨骨折手術
謝豐任,急診醫療、外傷急重症醫療、腹部急症、多重外傷、腹腔鏡微創手術(肝膽胰胃腸)
吳逾冬,急診醫療、外傷急重症醫療、腹部急症、多重外傷、腹腔鏡微創手術(肝膽胰胃腸)、胸壁創傷及肋骨骨折
廖建安,急診醫療、外傷急重症醫療、腹部急症、多重外傷、腹腔鏡微創手術(肝膽胰胃腸)、胸壁創傷及肋骨骨折
郭令偉,急診醫療、外傷急重症醫療、腹部急症、多重外傷、腹腔鏡微創手術(肝膽胰胃腸)
鄭有森,急診醫療、外傷急重症醫療、腹部急症、多重外傷、腹腔鏡微創手術(肝膽胰胃腸)
汪家正,急診醫療、外傷急重症醫療、腹部急症、多重外傷、腹腔鏡微創手術(肝膽胰胃腸)
李沛樺,急診醫療、外傷急重症醫療、腹部急症、多重外傷、腹腔鏡微創手術(肝膽胰胃腸)
詹勝宇,急診醫療、外傷急重症醫療、腹部急症、多重外傷、腹腔鏡微創手術(肝膽胰胃腸)
王煜豪,急診醫療、外傷急重症醫療、腹部急症、多重外傷、腹腔鏡微創手術(肝膽胰胃腸)、一般外科手術
許庭銨,一般外科、外傷急症外科
郭育綺,一般外科、外傷急症外科
陳思安,急診醫療、外傷急重症醫療、腹部急症、多重外傷、腹腔鏡微創手術(肝膽胰胃腸)
