醫師姓名,專長
林國仁,腎臟移植、攝護腺肥大、泌尿道結石、泌尿系統外傷、一般泌尿科
廖凡霆,泌尿道結石、攝護腺肥大、一般泌尿科
楊聿寬,泌尿道結石、攝護腺肥大、一般泌尿科
陳思遠,泌尿道結石、腎臟移植、攝護腺肥大、小兒先天性泌尿系統異常、一般泌尿科、泌尿腫瘤
潘柏諺,泌尿道結石、攝護腺肥大、小兒先天性泌尿系統異常、一般泌尿科
林志德,腎臟移植、攝護腺肥大、泌尿道結石、一般泌尿科、泌尿系統內視鏡
王敘涵,腎臟移植、攝護腺肥大、泌尿道結石、一般泌尿科
王大民,小兒先天性泌尿系統異常、一般泌尿科、泌尿道結石、攝護腺肥大
陳昱廷,攝護腺肥大微創及雷射手術、排尿障礙、泌尿道結石、腹股溝疝氣、性功能障礙、結紮、包皮手術
侯鎮邦,單孔達文西機器手臂手術、攝護腺拉提手術、攝護腺雷射手術、攝護腺水蒸氣消融手術、泌尿系統癌症
林友翔,高齡泌尿疾病、攝護腺肥大、泌尿道結石、雷射手術
林柏廷,排尿功能障礙、達文西機械手臂微創手術、高齡泌尿系統疾病、攝護腺雷射汽化切割術、攝護腺水蒸氣消融術、微創腹腔鏡疝氣修補術、軟式輸尿管鏡碎石術、包皮槍
鄧子麒,攝護腺肥大、攝護腺雷射剜除/氣化術、攝護腺水蒸氣消融術、攝護腺微創拉提術、腎臟結石軟式輸尿管鏡碎石術、單孔達文西機械手臂輔助腹股溝疝氣修補術、泌尿腫瘤、泌尿系統達文西微創手術、包皮槍環切吻合術、男性結紮手術
黃信介,一般泌尿、泌尿道結石、前列腺疾病、男性學
陳煜,男女性性功能障礙、男性不孕症、攝護腺肥大、泌尿道腫瘤
黃世聰,婦女尿失禁、男性性功能障礙、泌尿道結石
謝明里,男性不孕症、前列腺疾病、婦女泌尿、尿失禁、泌尿結石
林祖丞,攝護腺肥大、泌尿道結石、排尿功能障礙、男性不孕症、性功能障礙、高齡泌尿系統疾病、包皮手術、結紮手術
張博誌,婦女尿失禁及膀胱功能障礙、男性性功能障礙、攝護腺肥大、泌尿道結石
蘇世桓,性功能障礙，高齡泌尿系統疾病，排尿功能障礙，泌尿道結石，攝護腺肥大
林柏宏,達文西機械手臂手術、腹腔鏡與單孔微創手術、泌尿道腫瘤手術、攝護腺肥大手術、泌尿道結石手術、泌尿道癌系統性治療
李宗霖,泌尿腫瘤相關手術、攝護腺肥大、泌尿道結石、泌尿系統微創手術、腹腔鏡手術
甘弘成,泌尿系統疾病、泌尿腫瘤
邵翊紘,泌尿道腫瘤、泌尿系統微創手術、功能性排尿併尿失禁、良性攝護腺肥大手術
虞凱傑,泌尿道腫瘤相關手術、攝護腺肥大、泌尿道結石、腹腔鏡手術
馮思中,泌尿系統腫瘤、攝護腺肥大、泌尿道結石、泌尿系統內視鏡
莊正鏗,泌尿系統腫瘤、診療性超音波、攝護腺肥大、泌尿道結石
